Accession	Title	Platform	Total bases	Create date	SRA URL	SRA filename	SRA nice filename	FastQ URL	FastQ Aspera URL	FastQ filename	FastQ nice filename
SRR948863	immortalized lymphoblast cell line DNA (NA10840)	Illumina HiSeq 2000	15594	1382284800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR948/SRR948863/SRR948863.sra	SRR948863.sra	SRR948863_immortalized_lymphoblast_cell_line_DNA_NA10840_.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR948/SRR948863/SRR948863_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR948/SRR948863/SRR948863_1.fastq.gz	SRR948863_1.fastq.gz	SRR948863_immortalized_lymphoblast_cell_line_DNA_NA10840__1.fastq.gz
SRR948863	immortalized lymphoblast cell line DNA (NA10840)	Illumina HiSeq 2000	15594	1382284800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR948/SRR948863/SRR948863.sra	SRR948863.sra	SRR948863_immortalized_lymphoblast_cell_line_DNA_NA10840_.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR948/SRR948863/SRR948863_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR948/SRR948863/SRR948863_2.fastq.gz	SRR948863_2.fastq.gz	SRR948863_immortalized_lymphoblast_cell_line_DNA_NA10840__2.fastq.gz
SRR948862	immortalized lymphoblast cell line DNA (NA07014)	Illumina HiSeq 2000	18232	1382284800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR948/SRR948862/SRR948862.sra	SRR948862.sra	SRR948862_immortalized_lymphoblast_cell_line_DNA_NA07014_.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR948/SRR948862/SRR948862_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR948/SRR948862/SRR948862_1.fastq.gz	SRR948862_1.fastq.gz	SRR948862_immortalized_lymphoblast_cell_line_DNA_NA07014__1.fastq.gz
SRR948862	immortalized lymphoblast cell line DNA (NA07014)	Illumina HiSeq 2000	18232	1382284800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR948/SRR948862/SRR948862.sra	SRR948862.sra	SRR948862_immortalized_lymphoblast_cell_line_DNA_NA07014_.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR948/SRR948862/SRR948862_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR948/SRR948862/SRR948862_2.fastq.gz	SRR948862_2.fastq.gz	SRR948862_immortalized_lymphoblast_cell_line_DNA_NA07014__2.fastq.gz
SRR948865	immortalized lymphoblast cell line DNA (NA18957)	Illumina HiSeq 2000	22009	1382284800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR948/SRR948865/SRR948865.sra	SRR948865.sra	SRR948865_immortalized_lymphoblast_cell_line_DNA_NA18957_.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR948/SRR948865/SRR948865_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR948/SRR948865/SRR948865_1.fastq.gz	SRR948865_1.fastq.gz	SRR948865_immortalized_lymphoblast_cell_line_DNA_NA18957__1.fastq.gz
SRR948865	immortalized lymphoblast cell line DNA (NA18957)	Illumina HiSeq 2000	22009	1382284800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR948/SRR948865/SRR948865.sra	SRR948865.sra	SRR948865_immortalized_lymphoblast_cell_line_DNA_NA18957_.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR948/SRR948865/SRR948865_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR948/SRR948865/SRR948865_2.fastq.gz	SRR948865_2.fastq.gz	SRR948865_immortalized_lymphoblast_cell_line_DNA_NA18957__2.fastq.gz
SRR948864	immortalized lymphoblast cell line DNA (NA18595)	Illumina HiSeq 2000	16647	1382284800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR948/SRR948864/SRR948864.sra	SRR948864.sra	SRR948864_immortalized_lymphoblast_cell_line_DNA_NA18595_.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR948/SRR948864/SRR948864_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR948/SRR948864/SRR948864_1.fastq.gz	SRR948864_1.fastq.gz	SRR948864_immortalized_lymphoblast_cell_line_DNA_NA18595__1.fastq.gz
SRR948864	immortalized lymphoblast cell line DNA (NA18595)	Illumina HiSeq 2000	16647	1382284800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR948/SRR948864/SRR948864.sra	SRR948864.sra	SRR948864_immortalized_lymphoblast_cell_line_DNA_NA18595_.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR948/SRR948864/SRR948864_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR948/SRR948864/SRR948864_2.fastq.gz	SRR948864_2.fastq.gz	SRR948864_immortalized_lymphoblast_cell_line_DNA_NA18595__2.fastq.gz
SRR948867	immortalized lymphoblast cell line DNA (NA18511)	Illumina HiSeq 2000	21897	1382284800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR948/SRR948867/SRR948867.sra	SRR948867.sra	SRR948867_immortalized_lymphoblast_cell_line_DNA_NA18511_.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR948/SRR948867/SRR948867_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR948/SRR948867/SRR948867_1.fastq.gz	SRR948867_1.fastq.gz	SRR948867_immortalized_lymphoblast_cell_line_DNA_NA18511__1.fastq.gz
SRR948867	immortalized lymphoblast cell line DNA (NA18511)	Illumina HiSeq 2000	21897	1382284800000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR948/SRR948867/SRR948867.sra	SRR948867.sra	SRR948867_immortalized_lymphoblast_cell_line_DNA_NA18511_.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR948/SRR948867/SRR948867_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR948/SRR948867/SRR948867_2.fastq.gz	SRR948867_2.fastq.gz	SRR948867_immortalized_lymphoblast_cell_line_DNA_NA18511__2.fastq.gz
